GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chocolates_back,com.nst_project.project,ProjectApplication,5,3,0,0,2,1,1,1,1,1
chocolates_back,com.nst_project.project.exception,CategoryException,4,0,0,0,2,0,1,0,1,0
chocolates_back,com.nst_project.project.exception,CustomerException,4,0,0,0,2,0,1,0,1,0
chocolates_back,com.nst_project.project.exception,ChocolateException,7,0,0,0,4,0,2,0,2,0
chocolates_back,com.nst_project.project.exception,UserNotFoundAdvice,12,3,0,0,3,1,1,1,1,1
chocolates_back,com.nst_project.project.exception,OrderItemException,4,0,0,0,2,0,1,0,1,0
chocolates_back,com.nst_project.project.exception,UserNotFoundException,5,0,0,0,2,0,1,0,1,0
chocolates_back,com.nst_project.project.exception,AdminException,4,0,0,0,2,0,1,0,1,0
chocolates_back,com.nst_project.project.exception,OrderException,4,0,0,0,2,0,1,0,1,0
chocolates_back,com.nst_project.project.dtos,AdminDto,46,0,0,0,20,0,10,0,10,0
chocolates_back,com.nst_project.project.dtos,OrderItemDto,46,0,0,0,20,0,10,0,10,0
chocolates_back,com.nst_project.project.dtos,ChocolateDto,76,0,0,0,32,0,16,0,16,0
chocolates_back,com.nst_project.project.dtos,CustomerDto,125,0,14,0,28,0,20,0,13,0
chocolates_back,com.nst_project.project.dtos,CategoryDto,102,0,12,0,24,0,17,0,11,0
chocolates_back,com.nst_project.project.dtos,OrderDto,46,0,0,0,20,0,10,0,10,0
chocolates_back,com.nst_project.project.serviceImpl,AdminServiceImpl,29,9,2,0,5,4,2,1,1,1
chocolates_back,com.nst_project.project.serviceImpl,OrderItemServiceImpl,68,9,2,0,10,4,4,1,3,1
chocolates_back,com.nst_project.project.serviceImpl,ChocolateServiceImpl,85,9,2,0,13,4,7,1,6,1
chocolates_back,com.nst_project.project.serviceImpl,OrderServiceImpl,106,9,2,0,14,4,8,1,7,1
chocolates_back,com.nst_project.project.serviceImpl,CategoryServiceImpl,85,9,2,0,13,4,7,1,6,1
chocolates_back,com.nst_project.project.serviceImpl,CustomerServiceImpl,114,9,4,0,19,4,9,1,7,1
chocolates_back,com.nst_project.project.mapper,CategoryMapper,20,3,0,0,2,1,2,1,2,1
chocolates_back,com.nst_project.project.mapper,ChocolateMapper,46,8,0,0,4,2,2,1,2,1
chocolates_back,com.nst_project.project.mapper,OrderMapper,34,8,0,0,4,2,2,1,2,1
chocolates_back,com.nst_project.project.mapper,CustomerMapper,24,3,0,0,2,1,2,1,2,1
chocolates_back,com.nst_project.project.mapper,AdminMapper,24,3,0,0,2,1,2,1,2,1
chocolates_back,com.nst_project.project.mapper,OrderItemMapper,44,13,0,0,6,3,2,1,2,1
chocolates_back,com.nst_project.project.model,Order,43,3,0,0,18,2,9,1,9,1
chocolates_back,com.nst_project.project.model,OrderItem,43,3,0,0,18,2,9,1,9,1
chocolates_back,com.nst_project.project.model,Admin,43,3,0,0,18,2,9,1,9,1
chocolates_back,com.nst_project.project.model,Category,33,3,0,0,14,2,7,1,7,1
chocolates_back,com.nst_project.project.model,Customer,43,3,0,0,18,2,9,1,9,1
chocolates_back,com.nst_project.project.model,Chocolate,73,3,0,0,30,2,15,1,15,1
chocolates_back,com.nst_project.project.controller,AdminController,17,6,0,0,4,3,1,1,1,1
chocolates_back,com.nst_project.project.controller,ChocolateController,69,6,0,0,17,3,5,1,5,1
chocolates_back,com.nst_project.project.controller,OrderItemController,38,6,0,0,9,3,3,1,3,1
chocolates_back,com.nst_project.project.controller,CategoryController,69,6,0,0,17,3,5,1,5,1
chocolates_back,com.nst_project.project.controller,CustomerController,86,6,0,0,21,3,6,1,6,1
chocolates_back,com.nst_project.project.controller,OrderController,65,6,0,0,16,3,6,1,6,1
